date,sector,n_scored,n_priced,topk_tickers,topk_fwd5,ew_fwd5,edge_bp
2026-07-08,ai_chip,2,2,MU AVGO,-0.01627,-0.01627,0.0
2026-07-09,ai_chip,2,2,MU AVGO,-0.103036,-0.103036,0.0
2026-07-10,ai_chip,6,6,MU AVGO,-0.10298,-0.067647,-353.3
2026-07-10,consumer,14,14,PM WMT,0.032767,0.003524,292.4
2026-07-10,datacenter_hw,2,2,IBM DLR,-0.148314,-0.148314,0.0
2026-07-10,finance,17,17,CME AFRM SCHW,-0.027781,0.007167,-349.5
2026-07-10,industrial,17,17,APH EME ATI,-0.032347,-0.016433,-159.1
2026-07-10,software,5,5,FTNT PANW ZM,0.047281,0.036812,104.7
2026-07-13,ai_chip,4,4,MU AVGO,-0.045843,-0.032004,-138.4
2026-07-13,consumer,13,13,PM MO,0.054179,0.003875,503.0
2026-07-13,datacenter_hw,2,2,IBM DLR,-0.137743,-0.137743,0.0
2026-07-13,finance,14,14,CME AFRM SCHW,-0.026358,-0.004553,-218.0
2026-07-13,industrial,18,18,APH EME BWXT,-0.0349,-0.011909,-229.9
2026-07-13,software,5,5,FTNT PANW ZM,0.01447,0.016886,-24.2
2026-07-16,consumer,2,2,GRMN XLY,-0.058254,-0.058254,0.0
2026-07-16,industrial,5,5,APH ATI EME,0.017795,0.016037,17.6
2026-07-17,consumer,2,2,GRMN XLY,-0.0392,-0.0392,0.0
2026-07-17,industrial,5,5,APH BWXT EME,0.010054,0.009655,4.0
2026-07-20,ai_chip,5,5,AVGO ASML,-0.017392,-0.01552,-18.7
2026-07-20,consumer,13,13,PM GRMN,0.002889,0.014754,-118.6
2026-07-20,finance,16,16,AFRM PYPL GS,-0.016594,0.005433,-220.3
2026-07-20,industrial,15,15,BWXT APH GE,0.030814,0.035846,-50.3
2026-07-20,software,5,5,PANW FTNT ZM,-0.045413,-0.026492,-189.2
2026-07-21,ai_chip,6,6,AVGO ASML,-0.067298,-0.058911,-83.9
2026-07-21,consumer,13,13,PM GRMN,0.068172,0.040904,272.7
2026-07-21,finance,15,15,AFRM PYPL GS,-0.011643,0.010754,-224.0
2026-07-21,industrial,14,14,APH ATI GE,-0.007092,0.014609,-217.0
2026-07-21,software,5,5,FTNT PANW ZM,-0.033324,0.000892,-342.2
2026-07-22,ai_chip,6,6,AVGO ASML,-0.102495,-0.097255,-52.4
2026-07-22,consumer,13,13,PM GRMN,0.12358,0.049379,742.0
2026-07-22,finance,15,15,AFRM PYPL GS,-0.035755,-0.014408,-213.5
2026-07-22,industrial,14,14,APH GE ATI,-0.006014,-0.021008,149.9
2026-07-22,software,4,4,PANW ZM CRM,0.056533,0.068683,-121.5
2026-07-23,ai_chip,6,6,AVGO ASML,-0.04731,-0.041219,-60.9
2026-07-23,consumer,13,13,PM GRMN,0.12194,0.059824,621.2
2026-07-23,finance,15,15,AFRM PYPL SCHW,0.028294,0.014446,138.5
2026-07-23,industrial,14,14,APH ATI GE,0.010829,-0.014185,250.1
2026-07-23,software,4,4,PANW ZM CRM,0.083099,0.090907,-78.1
2026-07-24,ai_chip,6,6,AVGO ASML,-0.026188,-0.016727,-94.6
2026-07-24,consumer,13,13,GRMN PM,0.098763,0.042777,559.9
2026-07-24,finance,14,14,PYPL GS SCHW,0.003523,0.008331,-48.1
2026-07-24,industrial,14,14,APH EME ATI,0.041063,-0.004629,456.9
2026-07-24,software,4,4,PANW ZM CRM,0.080355,0.069216,111.4
2026-07-27,ai_chip,6,6,ASML AVGO,0.008577,0.004537,40.4
2026-07-27,consumer,13,13,WMT GRMN,0.12384,0.027766,960.7
2026-07-27,datacenter_hw,2,2,DLR EQIX,-0.018928,-0.018928,0.0
2026-07-27,finance,14,14,PYPL GS C,0.006824,0.015631,-88.1
2026-07-27,industrial,18,18,EME APH FDX,0.063243,0.009168,540.7
2026-07-27,software,4,4,PANW ZM CRM,0.080717,0.056298,244.2
2026-07-28,ai_chip,6,6,ASML AVGO,0.089624,0.064479,251.4
2026-07-28,consumer,13,13,WMT GRMN,0.099022,0.001074,979.5
2026-07-28,datacenter_hw,2,2,DLR EQIX,0.009892,0.009892,0.0
2026-07-28,finance,15,15,PYPL GS C,0.020392,0.022289,-19.0
2026-07-28,industrial,18,18,EME APH FDX,0.11829,0.031902,863.9
2026-07-28,software,4,4,PANW ZM CRM,0.105666,0.062932,427.3
2026-07-29,ai_chip,6,6,ASML AVGO,0.105875,0.094702,111.7
2026-07-29,consumer,13,13,WMT GRMN,0.004863,-0.002312,71.8
2026-07-29,datacenter_hw,2,2,DLR EQIX,0.041833,0.041833,0.0
2026-07-29,finance,15,15,PYPL GS SOFI,0.090239,0.052038,382.0
2026-07-29,industrial,17,17,APH ATI FDX,0.050912,0.051848,-9.4
2026-07-29,software,4,4,PANW ZM CRM,0.089298,0.047041,422.6
2026-07-30,ai_chip,5,5,AVGO TXN,0.044121,0.055395,-112.7
2026-07-30,consumer,13,13,WMT GRMN,0.011625,-0.00119,128.2
2026-07-30,datacenter_hw,2,2,DLR EQIX,0.000914,0.000914,0.0
2026-07-30,finance,15,15,PYPL SOFI SCHW,0.055944,0.023936,320.1
2026-07-30,industrial,17,17,APH ATI FDX,0.030412,0.044428,-140.2
2026-07-30,software,4,4,PANW ZM CRM,0.078206,0.035913,422.9
2026-07-31,ai_chip,5,5,AVGO TXN,0.067969,0.070377,-24.1
2026-07-31,consumer,13,13,GRMN WMT,0.032043,0.004836,272.1
2026-07-31,datacenter_hw,2,2,DLR EQIX,0.025303,0.025303,0.0
2026-07-31,finance,15,15,PYPL SOFI SCHW,0.060554,0.023318,372.4
2026-07-31,industrial,17,17,APH ATI FDX,0.029774,0.035143,-53.7
2026-07-31,software,3,3,PANW CRM SPOT,0.040262,0.040262,0.0
