arm,h,obs_index,date,placebo_score_date,block,units,n_pairs_genuine_leg_only,n_pairs_placebo_leg_only,kept,n_pairs_shared,spread_gen,spread_pla,delta,n_flagged_unadjusted,ic_genuine,ic_placebo,cost_drag,delta_net
A,20,13,2021-10-04,2021-08-06,3,raw_excess,607,131,True,131,0.03543260089859927,0.025346016553359982,0.010086584345239291,71,0.11388458869374898,0.21947365611487749,0.0023076923076923075,0.007778892037546984
A,20,14,2021-10-11,2021-08-13,3,raw_excess,609,604,True,604,0.005346108391709695,0.012096539350382657,-0.006750430958672962,96,0.06632760340381176,0.06249884614473469,0.008733333333333338,-0.0154837642920063
A,20,15,2021-10-18,2021-08-20,3,raw_excess,609,604,True,604,0.006764222188515731,0.0041943187767443015,0.0025699034117714296,68,-0.051792594141655574,-0.023037949108379616,0.002166666666666666,0.00040323674510476344
A,20,16,2021-10-25,2021-08-27,4,raw_excess,609,606,True,606,-0.018100873945006677,-0.0003339334745436056,-0.017766940470463073,74,-0.21394038449144223,-0.16101625056791477,0.0017666666666666664,-0.01953360713712974
A,20,17,2021-11-01,2021-09-03,4,raw_excess,609,606,True,606,-0.010158742500584714,-0.018829233393191556,0.008670490892606842,75,-0.27367360069839547,-0.24377508291491126,0.002033333333333333,0.006637157559273509
A,20,18,2021-11-08,2021-09-13,4,raw_excess,609,606,True,606,-0.02476645305189537,-0.023065529435989777,-0.001700923615905594,77,-0.3784479601172638,-0.36861342866351937,0.0021,-0.0038009236159055938
A,20,19,2021-11-15,2021-09-20,4,raw_excess,609,606,True,606,-0.029512744870961553,-0.028994299027378108,-0.0005184458435834455,90,-0.398355573164026,-0.3753132150117812,0.002166666666666666,-0.0026851125102501116
A,20,20,2021-11-22,2021-09-27,5,raw_excess,609,606,True,606,-0.010467888700311179,-0.021533809811335188,0.011065921111024009,44,-0.24885106752400565,-0.22512347086138895,0.002333333333333333,0.008732587777690676
A,20,21,2021-11-30,2021-10-04,5,raw_excess,609,607,True,607,-0.038445262558645665,-0.02441437910794142,-0.014030883450704246,62,-0.19301795836828112,-0.2398880354522923,0.002433333333333334,-0.016464216784037578
A,20,22,2021-12-07,2021-10-11,5,raw_excess,609,609,True,609,-0.0013287801804674746,-0.021635802797747412,0.020307022617279936,82,-0.13161629696060387,-0.19582635574238022,0.0022666666666666664,0.01804035595061327
A,20,23,2021-12-14,2021-10-18,5,raw_excess,609,609,True,609,0.021792691082069982,0.0026412327747087246,0.019151458307361258,83,0.032999454273572405,0.016530754394431278,0.0011666666666666668,0.01798479164069459
A,20,24,2021-12-21,2021-10-25,6,raw_excess,609,609,True,609,0.010702773976358314,-0.01630218934779545,0.027004963324153766,87,-0.13107023848484975,-0.08719530595850847,0.001,0.026004963324153765
A,20,25,2021-12-29,2021-11-01,6,raw_excess,609,609,True,609,-0.016778719844832823,0.004247586027730629,-0.02102630587256345,136,-0.19504302375497815,-0.07923415803499703,0.0015999999999999999,-0.02262630587256345
A,20,26,2022-01-05,2021-11-08,6,raw_excess,609,609,True,609,-0.007689058542370987,0.023967311768086086,-0.03165637031045707,90,-0.164097638103172,-0.06407298630975403,0.0015,-0.033156370310457074
A,20,27,2022-01-12,2021-11-15,6,raw_excess,609,609,True,609,0.0019325300835799806,-0.023099572966998647,0.025032103050578628,63,0.043959142361439156,0.024684893028814082,0.0020999999999999994,0.022932103050578627
