date,day_pos,block,in_primary,in_primary_block,on_fixed,on_expanding,spy_vol20,n_usable,n_topdec,frac_flagged_unadjusted,spread_dgtw,spread_dgtw_w50,spread_raw,volmatched_topdec,refit_cutoff
2021-12-28,1255,20,True,True,True,True,0.1960698074356805,292,29,0.3253424657534246,-0.5815832780498289,-0.16766518626125743,-0.7014884188317924,-0.4609614921368453,2021-09-30
2022-01-04,1260,21,True,True,True,True,0.16076788033416162,292,29,0.32191780821917804,-0.5124776205737397,-0.14442126751510145,-0.6416347257571732,-0.3748553216867881,2021-09-30
2022-01-11,1265,21,True,True,True,True,0.15674230701281922,292,29,0.2773972602739726,-0.1149509847613161,-0.02419871290616957,-0.5125415277396744,-0.2569071594693501,2021-09-30
2022-01-19,1270,21,True,True,True,True,0.15411867939623425,292,29,0.2226027397260274,-0.030162653611716057,-0.024314559592210627,-0.29527941037764355,-0.15874301301786625,2021-09-30
2022-01-26,1275,21,True,True,False,False,0.13482426795750693,292,29,0.23630136986301364,0.17405953768026858,0.01399321958093396,-0.19293528117437894,0.025393982414743308,2021-09-30
2022-02-02,1280,21,True,True,True,True,0.1922988906762129,292,29,0.23630136986301364,-0.06867692400339691,-0.028011620142688095,-0.6188079550770428,-0.2998340552637922,2021-09-30
2022-02-09,1285,21,True,True,True,True,0.20736029584467192,292,29,0.18150684931506844,-0.339389113926875,-0.1207091910279931,-1.0927162782273365,-0.7408774133159629,2021-09-30
2022-02-16,1290,21,True,True,True,True,0.21949948155512303,292,29,0.15753424657534243,-0.3805065087533587,-0.22322512050537155,-1.0218780660545297,-0.6896062557845979,2021-09-30
2022-02-24,1295,21,True,True,True,True,0.23335850728845428,292,29,0.273972602739726,-0.381972204511444,-0.22930862116072862,-0.8989133779430094,-0.6192364347174063,2021-09-30
2022-03-03,1300,21,True,True,True,True,0.22992118257183589,292,29,0.3082191780821918,-0.6287964752895425,-0.27847596730101126,-0.9423361502748212,-0.7620044843506781,2021-09-30
2022-03-10,1305,21,True,True,True,True,0.24999951373360668,292,29,0.24315068493150682,-0.3281116516722116,-0.12386672526752014,-0.6019250807887969,-0.4249896503648564,2021-09-30
2022-03-17,1310,21,True,True,True,True,0.26555332485521005,292,29,0.26712328767123283,-0.3010340781735065,-0.182473769405013,-0.6844106128142025,-0.434948332145653,2021-09-30
2022-03-24,1315,21,True,True,True,True,0.24750185769589367,292,29,0.2534246575342466,-0.5502195779672998,-0.17486117918520655,-0.8429637629595226,-0.5785563553979555,2021-09-30
2022-03-31,1320,22,True,True,True,True,0.23319939655460492,292,29,0.18835616438356162,-0.5164969917790283,-0.17027570169619244,-0.6586609130808501,-0.39419821434585123,2021-12-31
2022-04-07,1325,22,True,True,True,True,0.1877402261454251,292,29,0.2534246575342466,-0.20042411109016348,-0.10129506432133506,-0.37169512146885,-0.13573865271710814,2021-12-31
2022-04-14,1330,22,True,True,True,True,0.16518629140399035,292,29,0.25,-0.34498536419108883,-0.1572857172877299,-0.45788709104228026,-0.3232264563525515,2021-12-31
2022-04-22,1335,22,True,True,True,True,0.1841839534213318,292,29,0.226027397260274,0.06968343862127559,-0.015128873165784202,0.15908112875772712,0.04356244710300511,2021-12-31
2022-04-29,1340,22,True,True,True,True,0.24937596956995967,292,29,0.20890410958904104,-0.16391703094638443,-0.07403679282124098,-0.06085433936178491,-0.1159169011387086,2021-12-31
2022-05-06,1345,22,True,True,True,True,0.29710931844124566,292,29,0.1917808219178082,0.8119004353874587,0.13308427026541378,1.0392753031777162,0.8277390155554906,2021-12-31
2022-05-13,1350,22,True,True,True,True,0.32423208676948123,292,29,0.2842465753424658,0.9760642958116743,0.24482312824971794,1.2794278350514454,0.9619565364288875,2021-12-31
2022-05-20,1355,22,True,True,True,True,0.3409862205293429,292,29,0.26712328767123283,0.6088955942315177,0.175502988090773,0.948506587276531,0.44749705217694213,2021-12-31
2022-05-27,1360,22,True,True,True,True,0.32004386418322134,292,29,0.2705479452054794,0.49758905673439924,0.14029782416395753,0.8295325084613014,0.5041813692750342,2021-12-31
2022-06-06,1365,22,True,True,True,True,0.28637675924816275,292,29,0.2705479452054794,0.318734680490161,0.0751667917683303,0.48893920641575384,0.31555930600242776,2021-12-31
2022-06-13,1370,22,True,True,True,True,0.3084877885244336,292,29,0.24315068493150682,0.18168068134019133,0.06783322441146894,0.6008871762630515,0.2886157469434881,2021-12-31
2022-06-21,1375,22,True,True,True,True,0.3084071314839975,292,29,0.20890410958904104,-0.001676295121917755,0.007805192133860543,0.3084002473554607,-0.015429088708136453,2021-12-31
2022-06-28,1380,23,True,True,True,True,0.30333234458560004,292,29,0.26027397260273977,-0.04914140442737037,0.014925066477749702,-0.0020818828881205872,-0.08057347676120656,2022-03-31
2022-07-06,1385,23,True,True,True,True,0.2937497418665129,292,29,0.32191780821917804,-0.2015046102240057,-0.030801669621648882,-0.07833219462357463,-0.23531694173031756,2022-03-31
2022-07-13,1390,23,True,True,True,True,0.2342071396906638,292,29,0.34246575342465757,0.07874582327158391,0.09705166811661173,0.19363062430941355,-0.0495320397568528,2022-03-31
2022-07-20,1395,23,True,True,True,True,0.2081644574164293,292,29,0.3116438356164384,-0.6555089677187781,-0.2121755315886771,-0.6638499839046351,-0.6771989374966652,2022-03-31
2022-07-27,1400,23,True,True,True,True,0.19016079470604064,292,29,0.29109589041095896,-0.40260769896001586,-0.09637309261058208,-0.3786007488350083,-0.41212491707102167,2022-03-31
2022-08-03,1405,23,True,True,True,True,0.20028892217771901,292,29,0.36986301369863017,-0.3759116385263888,-0.1313938749111518,-0.5128499218863666,-0.5211047821912669,2022-03-31
2022-08-10,1410,23,True,True,True,True,0.19253940304160547,292,29,0.3013698630136986,-0.6633367712853695,-0.20310000648206344,-0.9100275902447992,-0.8197557019361681,2022-03-31
2022-08-17,1415,23,True,True,True,True,0.1700799600043567,292,29,0.3253424657534246,-0.23010655470453614,-0.09045907683307892,-0.4149812196928959,-0.3612053572863919,2022-03-31
2022-08-24,1420,23,True,True,True,True,0.16585644001114022,292,29,0.3321917808219178,-0.4096340361797306,-0.09813167228834867,-0.4411185890823909,-0.4196157037430147,2022-03-31
2022-08-31,1425,23,True,True,True,True,0.1967647153541006,292,29,0.1404109589041096,-0.13101834971238036,-0.01438144584792122,-0.22362437903220234,-0.1300613547445523,2022-03-31
2022-09-08,1430,23,True,True,True,True,0.19805070664052957,292,29,0.3253424657534246,-0.16948630523024627,-0.020122852378363188,-0.23758004925478213,-0.13687581908016275,2022-03-31
2022-09-15,1435,23,True,True,True,True,0.2502022646966946,292,29,0.2568493150684932,-0.3244430553492708,-0.034026534934008396,-0.397722578302889,-0.28256837935557816,2022-03-31
2022-09-22,1440,24,True,True,True,True,0.24930190261370488,292,29,0.3116438356164384,-0.39194854398010726,-0.104247074159209,-0.4791450587604245,-0.30691885532334473,2022-03-31
2022-09-29,1445,24,True,True,True,True,0.24317709396282797,292,29,0.23972602739726023,-0.3563385481120403,-0.1254582379055667,-0.4564395978420864,-0.2873204452097,2022-06-30
2022-10-06,1450,24,True,True,True,True,0.28410914049523356,292,29,0.3356164383561644,-0.7534694984735968,-0.25436195347454765,-0.9771734804273359,-0.8157115583393095,2022-06-30
2022-10-13,1455,24,True,True,True,True,0.26555545110022344,292,29,0.24315068493150682,-0.5088055469765344,-0.11037163458373239,-0.5347758766128392,-0.525116943223402,2022-06-30
2022-10-20,1460,24,True,True,True,True,0.2871626103809366,292,29,0.26027397260273977,-0.29734894042848004,-0.010922794627980811,-0.2460781652663359,-0.31409221746565663,2022-06-30
2022-10-27,1465,24,True,True,True,True,0.2818420610986965,292,29,0.2568493150684932,-0.5673051292059509,-0.1404662861154219,-0.4889230278986296,-0.5767047701258614,2022-06-30
2022-11-03,1470,24,True,True,True,True,0.26948114915401705,292,29,0.15753424657534243,-0.2562573397900701,-0.08500673489469182,-0.0006197812931218432,-0.2057016161346355,2022-06-30
2022-11-10,1475,24,True,True,True,True,0.3122150045180449,292,29,0.226027397260274,-0.0866411726984905,-0.05228705495439675,0.020211841975752164,-0.18269504243140436,2022-06-30
2022-11-17,1480,24,True,True,True,True,0.2872000392833618,292,29,0.20890410958904104,0.08268392260697391,0.06851774243376696,0.28612503525058425,0.014022217995155035,2022-06-30
2022-11-25,1485,24,True,True,True,True,0.2707409333119832,292,29,0.26027397260273977,0.2443264084045394,0.1346151688994136,0.5356279357038556,0.24484959886325908,2022-06-30
2022-12-02,1490,24,True,True,True,True,0.2609159584743614,292,29,0.24315068493150682,0.26686288143914766,0.11614668982521786,0.47245422979797014,0.23241583522473042,2022-06-30
2022-12-09,1495,24,True,True,True,True,0.18077572538028508,292,29,0.2191780821917808,0.31828911264789705,0.13784545685277347,0.4855424821521896,0.2835329729883896,2022-06-30
2022-12-16,1500,25,True,True,True,True,0.20900242758185542,292,29,0.297945205479452,0.2235492202856289,0.0907604228355027,0.36186463756988146,0.22062414315573192,2022-06-30
2022-12-23,1505,25,True,True,True,True,0.21528328204379218,292,29,0.2534246575342466,0.33465827681760385,0.03026159575195748,0.6166837642615972,0.2996101533335223,2022-06-30
2023-01-03,1510,25,True,True,True,True,0.1880019241712765,292,29,0.31506849315068497,0.5046552453925757,0.11528707766791638,0.8666050775455194,0.5553290499607229,2022-09-30
2023-01-10,1515,25,True,True,True,True,0.19905005682582266,292,29,0.3253424657534246,0.6224145900702555,0.1823982224683434,0.812410779270838,0.6352166073310452,2022-09-30
2023-01-18,1520,25,True,True,True,False,0.17212625373386403,292,29,0.3047945205479452,0.7424818743525329,0.23794002918953455,0.9374383731426842,0.668079945813072,2022-09-30
2023-01-25,1525,25,True,True,True,False,0.16948699407753293,292,29,0.29109589041095896,0.5194862783785721,0.17456037547717207,0.600312536248444,0.4882403720594264,2022-09-30
2023-02-01,1530,25,True,True,True,False,0.16561317587839552,292,29,0.23287671232876717,0.10000923185269674,0.01988032647878663,0.10753164998760455,0.18128212056001253,2022-09-30
2023-02-08,1535,25,True,True,True,False,0.16770132563556162,292,29,0.2808219178082192,0.10377873703174166,-0.006412000156115923,0.10575806884083228,0.19873115181228412,2022-09-30
2023-02-15,1540,25,True,True,True,False,0.1578322669639558,292,29,0.28767123287671237,0.06688239198527013,-0.004000104237479162,-0.02870993512798644,0.136366727111143,2022-09-30
2023-02-23,1545,25,True,True,True,False,0.16779979325001923,292,29,0.23287671232876717,0.5575411914264937,0.14330993208514298,0.586911494627685,0.48605434336113906,2022-09-30
