date,day_pos,block,on_fixed,spy_vol20,n_panel_usable,n_mom_scored,n_common,n_topdec,frac_flagged_unadjusted,refit_cutoff,spread_A_prod,spread_w50_A_prod,spread_B_3leg,spread_w50_B_3leg,spread_C_2leg_certified,spread_w50_C_2leg_certified,spread_D_solo_xgb,spread_w50_D_solo_xgb,diff_primary,diff_control,diff_primary_w50
2018-06-29,375,6,False,0.0821894738452426,272,267,267,27,0.2471910112359551,2018-03-29,-0.030193293788065567,-0.008240667330812218,-0.027460413555097735,-0.011750213788775957,-0.17035371821164652,-0.021977989948195747,-0.10693774691967801,-0.012844540552431873,0.0027328802329678326,-0.0634159712919685,-0.0035095464579637387
2018-07-09,380,6,False,0.09264619350929049,272,267,267,27,0.32209737827715357,2018-03-29,0.04405050460630045,0.026784714775574182,0.09054878478091007,0.002490073412835487,0.24173757707546326,0.0764220450438608,0.11704181785995987,0.02159907564791602,0.046498280174609614,0.12469575921550338,-0.024294641362738695
2018-07-16,385,6,False,0.09912780698195878,272,267,267,27,0.2471910112359551,2018-03-29,-0.37256623003011746,-0.12545870613569907,-0.3811258604778832,-0.13331319935570732,-0.24394999440481058,-0.08964109008636384,-0.3755760611065824,-0.16845353787801676,-0.008559630447765754,0.13162606670177185,-0.007854493220008252
2018-07-23,390,6,False,0.09632543663974051,272,267,267,27,0.32209737827715357,2018-03-29,-0.2185809409242159,-0.11433616776766956,-0.10363679312257199,-0.10091809898520844,-0.4626729309729601,-0.15295365705030178,-0.2339414695278117,-0.11762950846071743,0.11494414780164391,-0.2287314614451484,0.013418068782461115
2018-07-30,395,6,False,0.08559060891410507,272,267,267,27,0.32209737827715357,2018-03-29,-0.018995067299749813,-0.0025099768743298,0.1779504092122363,0.020023596483245507,0.32526331986884316,0.14915452568837745,0.12137550057919708,0.008306804222562844,0.1969454765119861,0.20388781928964608,0.022533573357575307
2018-08-06,400,6,False,0.07515613342870628,273,267,267,27,0.24344569288389517,2018-03-29,-0.24322252152118629,-0.15099448083688102,-0.027669896797424716,-0.0014438385683357789,-0.14165335764792622,-0.007624930714863011,-0.46676566001045405,-0.1507592869177015,0.21555262472376158,0.32511230236252786,0.14955064226854525
2018-08-13,405,6,False,0.07023284567463348,273,267,267,27,0.26591760299625467,2018-03-29,-0.23786988069176934,-0.060848514439253286,0.08006758400247616,0.04338642967653702,-0.01259521415880074,0.043384223917761124,-0.3076404783951885,-0.0569751128041094,0.3179374646942455,0.29504526423638777,0.1042349441157903
2018-08-20,410,6,False,0.0811798462639041,273,267,267,27,0.30711610486891383,2018-03-29,-0.23130895011079727,-0.1296887453825592,-0.18549726673238853,-0.10886730592525301,-0.24392391125995544,-0.09699942067510559,-0.4566220063476859,-0.19706033021728497,0.04581168337840874,0.21269809508773047,0.02082143945730619
2018-08-27,415,6,False,0.0714770513815575,273,267,267,27,0.27715355805243447,2018-03-29,-0.8221209376015293,-0.34818869229648913,-0.5578326483053778,-0.26900358364529964,-0.5158252649043762,-0.20540546609667623,-0.56593985731392,-0.18112949733976502,0.26428828929615145,0.05011459240954386,0.0791851086511895
2018-09-04,420,7,False,0.07182154564582549,273,267,267,27,0.29962546816479396,2018-03-29,-0.9162073023677572,-0.3878245948290946,-0.371761483617309,-0.13165237769685803,-0.19721242803646388,-0.054805999002259465,-0.37706813400897254,-0.1506774204559522,0.5444458187504482,0.17985570597250866,0.2561722171322366
2018-09-11,425,7,False,0.06690990495691626,273,268,268,27,0.2350746268656716,2018-03-29,-0.3035161008558621,-0.17137374724188237,-0.3729907995730234,-0.19452417500827263,-0.229151398064406,-0.13774496433858713,-0.21236883366727108,-0.16589152130291657,-0.06947469871716128,-0.016782564397134908,-0.023150427766390258
2018-09-18,430,7,False,0.05922476868638363,273,268,268,27,0.2947761194029851,2018-03-29,0.03444139847648649,0.0114488593294132,-0.0038723552793185623,-0.005727215723806002,0.11184437808597508,0.03851460978780907,0.1178146183048766,0.012869167267190385,-0.03831375375580505,-0.0059702402189015236,-0.017176075053219202
2018-09-25,435,7,False,0.061210400993798035,274,268,268,27,0.2276119402985075,2018-06-29,-0.204569770432419,-0.0633476701235145,-0.40091957113750043,-0.13665119882991808,-0.28981394025589374,-0.11321244960706611,-0.10344173412845395,-0.07270705179501061,-0.19634980070508143,-0.1863722061274398,-0.07330352870640358
2018-10-02,440,7,False,0.058930997933352464,274,268,268,27,0.1977611940298507,2018-06-29,0.005902983512858044,-0.0063229150950218395,-0.3017331488789492,-0.1114986536141835,-0.24302774440052086,-0.07869965716838362,-0.02620481866524838,-0.03520734968195954,-0.30763613239180726,-0.21682292573527248,-0.10517573851916166
2018-10-09,445,7,False,0.06545778969259777,275,268,268,27,0.332089552238806,2018-06-29,0.29569019311437733,0.04865686786513703,0.29649228664110816,0.05553553073419266,0.4371729847157441,0.06931731507755352,0.38160074786769,0.04176430978163115,0.0008020935267308293,0.055572236848054124,0.006878662869055627
